fecha	valor	variacion
1997-01-31	701	NA
1997-02-28	700	-0.0014265335235378318
1997-03-31	704	0.005714285714285783
1997-04-30	707	0.0042613636363635354
1997-05-31	707	0
1997-06-30	707	0
1997-07-31	707	0
1997-08-31	707	0
1997-09-30	710	0.004243281471004279
1997-10-31	712	0.0028169014084507005
1997-11-30	715	0.004213483146067398
1997-12-31	714	-0.0013986013986013734
1998-01-31	710	-0.0056022408963585235
1998-02-28	708	-0.0028169014084507005
1998-03-31	709	0.0014124293785311437
1998-04-30	710	0.0014104372355430161
1998-05-31	712	0.0028169014084507005
1998-06-30	711	-0.001404494382022503
1998-07-31	711	0
1998-08-31	712	0.0014064697609001975
1998-09-30	712	0
1998-10-31	717	0.0070224719101124045
1998-11-30	719	0.002789400278939924
1998-12-31	721	0.0027816411682892728
1999-01-31	719	-0.00277392510402219
1999-02-28	720	0.0013908205841446364
1999-03-31	726	0.008333333333333304
1999-04-30	731	0.00688705234159781
1999-05-31	735	0.00547195622435015
1999-06-30	735	0
1999-07-31	737	0.0027210884353741083
1999-08-31	742	0.006784260515603879
1999-09-30	746	0.005390835579514919
1999-10-31	748	0.002680965147453085
1999-11-30	751	0.00401069518716568
1999-12-31	754	0.003994673768308976
2000-01-31	750	-0.0053050397877983935
2000-02-29	753	0.0040000000000000036
2000-03-31	761	0.010624169986719778
2000-04-30	761	0
2000-05-31	766	0.006570302233902758
2000-06-30	772	0.007832898172323688
2000-07-31	771	-0.0012953367875647714
2000-08-31	772	0.0012970168612191912
2000-09-30	777	0.006476683937823857
2000-10-31	777	0
2000-11-30	783	0.007722007722007707
2000-12-31	785	0.0025542784163474774
2001-01-31	789	0.005095541401273884
2001-02-28	793	0.005069708491761693
2001-03-31	792	-0.0012610340479193294
2001-04-30	788	-0.005050505050505083
2001-05-31	791	0.0038071065989848663
2001-06-30	799	0.010113780025284402
2001-07-31	800	0.0012515644555695093
2001-08-31	803	0.00374999999999992
2001-09-30	807	0.00498132004981322
2001-10-31	808	0.0012391573729864103
2001-11-30	810	0.0024752475247524774
2001-12-31	810	0
2002-01-31	1627	1.0086419753086422
2002-02-28	1657	0.018438844499077955
2002-03-31	2230	0.3458056729028365
2002-04-30	2016	-0.09596412556053813
2002-05-31	2344	0.1626984126984128
2002-06-30	2389	0.019197952218430014
2002-07-31	2259	-0.05441607367099199
2002-08-31	2172	-0.038512616201859196
2002-09-30	2218	0.02117863720073654
2002-10-31	2082	-0.06131650135256983
2002-11-30	2145	0.030259365994236287
2002-12-31	1986	-0.07412587412587412
2003-01-31	1875	-0.0558912386706949
2003-02-28	1863	-0.006399999999999961
2003-03-31	1733	-0.0697799248523886
2003-04-30	1633	-0.05770340450086553
2003-05-31	1654	0.012859767299448821
2003-06-30	1628	-0.01571946795646917
2003-07-31	1696	0.041769041769041726
2003-08-31	1724	0.01650943396226423
2003-09-30	1705	-0.011020881670533611
2003-10-31	1664	-0.02404692082111437
2003-11-30	1733	0.041466346153846256
2003-12-31	1699	-0.019619157530294307
2004-01-31	1698	-5.885815185403542e-4
2004-02-29	1697	-5.889281507656108e-4
2004-03-31	1654	-0.02533883323512076
2004-04-30	1632	-0.013301088270858519
2004-05-31	1695	0.03860294117647056
2004-06-30	1691	-0.0023598820058997605
2004-07-31	1698	0.004139562389118945
2004-08-31	1702	0.002355712603062443
2004-09-30	1688	-0.008225616921269108
2004-10-31	1684	-0.0023696682464454666
2004-11-30	1678	-0.0035629453681710332
2004-12-31	1683	0.0029797377830751426
2005-01-31	1627	-0.033273915626856776
2005-02-28	1626	-6.146281499692652e-4
2005-03-31	1596	-0.01845018450184499
2005-04-30	1589	-0.004385964912280715
2005-05-31	1564	-0.01573316551290116
2005-06-30	1553	-0.00703324808184147
2005-07-31	1533	-0.012878300064391501
2005-08-31	1562	0.018917155903457328
2005-09-30	1565	0.001920614596671033
2005-10-31	1605	0.025559105431310014
2005-11-30	1559	-0.0286604361370717
2005-12-31	1576	0.010904425914047389
2006-01-31	1583	0.004441624365482344
2006-02-28	1581	-0.0012634238787112562
2006-03-31	1569	-0.007590132827324458
2006-04-30	1545	-0.015296367112810683
2006-05-31	1561	0.01035598705501628
2006-06-30	1557	-0.002562459961563124
2006-07-31	1549	-0.005138086062941527
2006-08-31	1560	0.007101355713363455
2006-09-30	1542	-0.011538461538461497
2006-10-31	1515	-0.017509727626459193
2006-11-30	1495	-0.01320132013201325
2006-12-31	1485	-0.006688963210702337
2007-01-31	1493	0.005387205387205496
2007-02-28	1486	-0.0046885465505692725
2007-03-31	1478	-0.0053835800807536804
2007-04-30	1445	-0.022327469553450663
2007-05-31	1415	-0.02076124567474047
2007-06-30	1389	-0.0183745583038869
2007-07-31	1369	-0.014398848092152639
2007-08-31	1340	-0.02118334550766987
2007-09-30	1317	-0.01716417910447765
2007-10-31	1299	-0.013667425968109326
2007-11-30	1316	0.013086989992301845
2007-12-31	1309	-0.005319148936170248
2008-01-31	1291	-0.013750954927425507
2008-02-29	1267	-0.018590240123934954
2008-03-31	1224	-0.033938437253354325
2008-04-30	1190	-0.02777777777777779
2008-05-31	1170	-0.01680672268907568
2008-06-30	1126	-0.037606837606837584
2008-07-31	1126	0
2008-08-31	1110	-0.014209591474245165
2008-09-30	1137	0.024324324324324298
2008-10-31	1211	0.06508355321020232
2008-11-30	1177	-0.028075970272502082
2008-12-31	1190	0.011045029736618472
2009-01-31	1191	8.403361344537785e-4
2009-02-28	1222	0.02602854743912686
2009-03-31	1245	0.01882160392798693
2009-04-30	1222	-0.01847389558232937
