fecha	valor	anio	mes
2004-06-30	169,1	2004	6
2004-07-31	169,8	2004	7
2004-08-31	170,2	2004	8
2004-09-30	168,8	2004	9
2004-10-31	168,4	2004	10
2004-11-30	167,8	2004	11
2004-12-31	168,3	2004	12
2005-01-31	162,7	2005	1
2005-02-28	162,6	2005	2
2005-03-31	159,6	2005	3
2005-04-30	158,9	2005	4
2005-05-31	156,4	2005	5
2005-06-30	155,3	2005	6
2005-07-31	153,3	2005	7
2005-08-31	156,2	2005	8
2005-09-30	156,5	2005	9
2005-10-31	160,5	2005	10
2005-11-30	155,9	2005	11
2005-12-31	157,6	2005	12
2006-01-31	158,3	2006	1
2006-02-28	158,1	2006	2
2006-03-31	156,9	2006	3
2006-04-30	154,5	2006	4
2006-05-31	156,1	2006	5
2006-06-30	155,7	2006	6
2006-07-31	154,9	2006	7
2006-08-31	156,0	2006	8
2006-09-30	154,2	2006	9
2006-10-31	151,5	2006	10
2006-11-30	149,5	2006	11
2006-12-31	148,5	2006	12
2007-01-31	149,3	2007	1
2007-02-28	148,6	2007	2
2007-03-31	147,8	2007	3
2007-04-30	144,5	2007	4
2007-05-31	141,5	2007	5
2007-06-30	138,9	2007	6
2007-07-31	136,9	2007	7
2007-08-31	134,0	2007	8
2007-09-30	131,7	2007	9
2007-10-31	129,9	2007	10
2007-11-30	131,6	2007	11
2007-12-31	130,9	2007	12
2008-01-31	129,1	2008	1
2008-02-29	126,7	2008	2
2008-03-31	122,4	2008	3
2008-04-30	119,0	2008	4
2008-05-31	117,0	2008	5
2008-06-30	112,6	2008	6
2008-07-31	112,6	2008	7
2008-08-31	111,0	2008	8
2008-09-30	113,7	2008	9
2008-10-31	121,1	2008	10
2008-11-30	117,7	2008	11
2008-12-31	119,0	2008	12
2009-01-31	119,1	2009	1
2009-02-28	122,2	2009	2
2009-03-31	124,5	2009	3
2009-04-30	122,2	2009	4
2009-05-31	122,4	2009	5
2009-06-30	124,4	2009	6
2009-07-31	124,2	2009	7
2009-08-31	123,0	2009	8
2009-09-30	121,1	2009	9
2009-10-31	118,7	2009	10
2009-11-30	117,5	2009	11
2009-12-31	113,6	2009	12
2010-01-31	112,2	2010	1
2010-02-28	108,1	2010	2
2010-03-31	105,9	2010	3
2010-04-30	104,8	2010	4
2010-05-31	104,2	2010	5
2010-06-30	103,1	2010	6
2010-07-31	102,0	2010	7
2010-08-31	101,3	2010	8
2010-09-30	100,2	2010	9
2010-10-31	97,3	2010	10
2010-11-30	96,4	2010	11
2010-12-31	94,9	2010	12
2011-01-31	95,0	2011	1
2011-02-28	94,8	2011	2
2011-03-31	93,3	2011	3
2011-04-30	92,0	2011	4
2011-05-31	90,9	2011	5
2011-06-30	90,0	2011	6
2011-07-31	89,5	2011	7
2011-08-31	88,8	2011	8
2011-09-30	87,4	2011	9
2011-10-31	87,1	2011	10
2011-11-30	87,0	2011	11
2011-12-31	85,9	2011	12
2012-01-31	85,8	2012	1
2012-02-29	85,1	2012	2
2012-03-31	82,9	2012	3
2012-04-30	82,2	2012	4
2012-05-31	81,4	2012	5
2012-06-30	81,3	2012	6
2012-07-31	81,0	2012	7
2012-08-31	80,7	2012	8
2012-09-30	80,9	2012	9
2012-10-31	81,1	2012	10
2012-11-30	80,6	2012	11
2012-12-31	80,7	2012	12
2013-01-31	80,2	2013	1
2013-02-28	80,3	2013	2
2013-03-31	79,7	2013	3
2013-04-30	79,1	2013	4
2013-05-31	79,3	2013	5
2013-06-30	79,3	2013	6
2013-07-31	79,3	2013	7
2013-08-31	80,3	2013	8
2013-09-30	80,5	2013	9
2013-10-31	80,0	2013	10
2013-11-30	81,1	2013	11
2013-12-31	84,0	2013	12
2014-01-31	99,0	2014	1
2014-02-28	92,1	2014	2
2014-03-31	90,3	2014	3
2014-04-30	88,2	2014	4
2014-05-31	87,0	2014	5
2014-06-30	85,9	2014	6
2014-07-31	85,1	2014	7
2014-08-31	84,9	2014	8
2014-09-30	83,1	2014	9
2014-10-31	82,5	2014	10
2014-11-30	81,2	2014	11
2014-12-31	80,0	2014	12
2015-01-31	79,1	2015	1
2015-02-28	78,6	2015	2
2015-03-31	78,2	2015	3
2015-04-30	77,4	2015	4
2015-05-31	76,8	2015	5
2015-06-30	76,8	2015	6
2015-07-31	76,2	2015	7
2015-08-31	75,6	2015	8
2015-09-30	75,0	2015	9
2015-10-31	75,0	2015	10
2015-11-30	74,4	2015	11
2015-12-31	95,1	2015	12
2016-01-31	97,6	2016	1
2016-02-29	106,8	2016	2
2016-03-31	96,6	2016	3
2016-04-30	89,6	2016	4
2016-05-31	84,6	2016	5
2016-06-30	88,5	2016	6
2016-07-31	86,5	2016	7
2016-08-31	86,0	2016	8
2016-09-30	87,4	2016	9
2016-10-31	84,7	2016	10
2016-11-30	87,4	2016	11
2016-12-31	86,7	2016	12
2017-01-31	85,8	2017	1
2017-02-28	81,9	2017	2
2017-03-31	79,5	2017	3
2017-04-30	77,6	2017	4
2017-05-31	79,9	2017	5
